,User,Tweet Number,Tweet Date,Compound,Positive,Neutral,Negative
0,@BBCWorld,1,Mon Jan 29 22:19:40 +0000 2018,-0.3818,0,0.755,0.245
1,@BBCWorld,2,Mon Jan 29 22:03:43 +0000 2018,0.3612,0.328,0.458,0.214
2,@BBCWorld,3,Mon Jan 29 22:02:41 +0000 2018,-0.2023,0,0.921,0.079
3,@BBCWorld,4,Mon Jan 29 21:46:13 +0000 2018,0.3818,0.206,0.794,0
4,@BBCWorld,5,Mon Jan 29 20:57:26 +0000 2018,0,0,1,0
5,@BBCWorld,6,Mon Jan 29 20:37:55 +0000 2018,-0.7713,0,0.428,0.572
6,@BBCWorld,7,Mon Jan 29 20:21:58 +0000 2018,0.4215,0.237,0.763,0
7,@BBCWorld,8,Mon Jan 29 19:20:18 +0000 2018,0,0,1,0
8,@BBCWorld,9,Mon Jan 29 19:06:27 +0000 2018,-0.4588,0,0.727,0.273
9,@BBCWorld,10,Mon Jan 29 18:57:37 +0000 2018,0,0,1,0
10,@BBCWorld,11,Mon Jan 29 18:33:46 +0000 2018,0.4019,0.263,0.602,0.135
11,@BBCWorld,12,Mon Jan 29 18:28:27 +0000 2018,0,0,1,0
12,@BBCWorld,13,Mon Jan 29 18:28:27 +0000 2018,0,0,1,0
13,@BBCWorld,14,Mon Jan 29 18:09:21 +0000 2018,-0.91,0,0.324,0.676
14,@BBCWorld,15,Mon Jan 29 17:49:54 +0000 2018,-0.4404,0,0.674,0.326
15,@BBCWorld,16,Mon Jan 29 17:23:50 +0000 2018,-0.6808,0,0.472,0.528
16,@BBCWorld,17,Mon Jan 29 16:35:30 +0000 2018,0,0,1,0
17,@BBCWorld,18,Mon Jan 29 16:21:27 +0000 2018,0,0,1,0
18,@BBCWorld,19,Mon Jan 29 16:11:27 +0000 2018,-0.743,0,0.588,0.412
19,@BBCWorld,20,Mon Jan 29 15:59:50 +0000 2018,-0.2263,0,0.808,0.192
20,@BBCWorld,21,Mon Jan 29 22:19:40 +0000 2018,-0.3818,0,0.755,0.245
21,@BBCWorld,22,Mon Jan 29 22:03:43 +0000 2018,0.3612,0.328,0.458,0.214
22,@BBCWorld,23,Mon Jan 29 22:02:41 +0000 2018,-0.2023,0,0.921,0.079
23,@BBCWorld,24,Mon Jan 29 21:46:13 +0000 2018,0.3818,0.206,0.794,0
24,@BBCWorld,25,Mon Jan 29 20:57:26 +0000 2018,0,0,1,0
25,@BBCWorld,26,Mon Jan 29 20:37:55 +0000 2018,-0.7713,0,0.428,0.572
26,@BBCWorld,27,Mon Jan 29 20:21:58 +0000 2018,0.4215,0.237,0.763,0
27,@BBCWorld,28,Mon Jan 29 19:20:18 +0000 2018,0,0,1,0
28,@BBCWorld,29,Mon Jan 29 19:06:27 +0000 2018,-0.4588,0,0.727,0.273
29,@BBCWorld,30,Mon Jan 29 18:57:37 +0000 2018,0,0,1,0
30,@BBCWorld,31,Mon Jan 29 18:33:46 +0000 2018,0.4019,0.263,0.602,0.135
