,City,Lat,Max Temp,Cloudiness,Humidity,Wind Speed,Date
0,hermanus,-83.70343483949222,79.31,8.0,53.0,9.22,1516981888.0
1,mataura,-84.05780700908235,58.12,8.0,84.0,4.97,1516981889.0
2,albany,-87.21052087700166,21.2,20.0,48.0,3.36,1516978440.0
4,ushuaia,-84.84437295014685,57.2,40.0,62.0,20.8,1516978800.0
5,punta+arenas,-82.69031293973003,62.6,40.0,55.0,28.86,1516978800.0
9,bredasdorp,-81.05643638836789,73.4,100.0,73.0,16.11,1516978800.0
10,port+alfred,-85.36720735356135,76.34,56.0,79.0,16.82,1516981897.0
13,hobart,-81.40409181451756,59.0,20.0,87.0,2.24,1516978800.0
17,vaini,-82.94227141157104,68.74,0.0,58.0,2.51,1516981901.0
19,new+norfolk,-82.53684284958771,59.0,20.0,87.0,2.24,1516978800.0
20,bluff,-81.82407610622282,77.6,0.0,70.0,11.01,1516981904.0
25,busselton,-83.20528362078427,68.56,0.0,100.0,14.47,1516981905.0
46,cape+town,-76.18742637914963,71.6,20.0,73.0,27.51,1516978800.0
56,saint-philippe,-73.7157989179537,15.8,1.0,71.0,3.36,1516979700.0
61,east+london,-74.30494517814746,75.2,75.0,88.0,11.41,1516980840.0
69,rikitea,-72.33193517093224,80.21,76.0,98.0,17.05,1516981913.0
71,avarua,-74.71195380954588,75.2,75.0,83.0,1.12,1516978800.0
100,kaitangata,-71.0732448853751,56.45,12.0,86.0,4.18,1516981916.0
135,mar+del+plata,-66.42668165188667,74.72,0.0,32.0,17.83,1516981917.0
145,chuy,-65.83159410037119,75.53,48.0,74.0,14.47,1516981919.0
151,port+elizabeth,-69.99262666656777,33.8,1.0,58.0,4.63,1516978560.0
191,dunedin,-59.418690431256756,53.84,0.0,92.0,3.18,1516981922.0
209,souillac,-59.250377384293415,50.0,75.0,76.0,6.93,1516980600.0
228,tuatapere,-54.40186256421292,67.61,12.0,77.0,11.01,1516981926.0
234,mahebourg,-55.868694595012244,82.4,40.0,78.0,5.82,1516978800.0
256,port+lincoln,-49.99049137730111,74.72,8.0,78.0,9.78,1516981930.0
261,portland,-48.90653026295477,42.8,90.0,93.0,5.82,1516980060.0
263,castro,-49.86220134477147,57.89,80.0,81.0,4.29,1516981933.0
267,mount+gambier,-54.81715116595574,62.84,0.0,81.0,4.18,1516981831.0
270,arraial+do+cabo,-48.953854438920864,89.6,20.0,59.0,11.41,1516978800.0
291,comodoro+rivadavia,-47.624940042750175,82.4,0.0,23.0,17.22,1516978800.0
302,esperance,-45.033712795414566,84.2,20.0,62.0,16.11,1516978800.0
305,jamestown,-42.563458980618904,68.33,0.0,66.0,5.3,1516981941.0
310,coihaique,-46.51550312304033,62.6,20.0,45.0,10.29,1516978800.0
317,cidreira,-47.36897427437883,75.22,44.0,72.0,16.04,1516981944.0
329,rawson,-45.84161579818585,80.17,68.0,41.0,16.37,1516981947.0
333,te+anau,-44.117870604430635,55.42,8.0,89.0,4.18,1516981949.0
334,batemans+bay,-39.76752774455986,71.12,88.0,97.0,4.29,1516981950.0
340,nelson+bay,-38.27230875610638,75.2,8.0,88.0,6.93,1516978800.0
346,wairoa,-39.52219599979745,66.53,92.0,100.0,5.75,1516981954.0
347,greymouth,-41.907146840739244,66.26,36.0,100.0,2.17,1516981956.0
350,ancud,-42.65012418648894,59.6,88.0,76.0,4.97,1516981957.0
354,lebu,-36.895294949534815,68.0,0.0,23.0,13.87,1516978800.0
362,rocha,-36.64954163054715,76.52,56.0,55.0,9.66,1516981962.0
365,kruisfontein,-39.211425043606305,73.19,44.0,82.0,13.69,1516981963.0
370,lakes+entrance,-40.01727968553296,70.49,88.0,96.0,2.17,1516981965.0
381,bambous+virieux,-36.06433196572916,82.4,40.0,78.0,5.82,1516978800.0
383,san+rafael,-35.00524105827941,70.54,56.0,75.0,4.52,1516981944.0
384,geraldton,-34.98658792304368,28.4,90.0,92.0,11.41,1516980840.0
385,ulladulla,-37.945754939884516,71.6,90.0,100.0,4.7,1516980600.0
386,port+macquarie,-33.9371141704677,73.4,75.0,94.0,4.7,1516978800.0
389,corowa,-36.025602577483035,82.4,90.0,94.0,12.75,1516978800.0
397,tandil,-37.918325364906906,74.81,64.0,60.0,10.67,1516981977.0
400,necochea,-39.07916525594812,73.96,56.0,68.0,12.01,1516981979.0
402,griffith,-33.79867516670125,74.99,36.0,71.0,5.97,1516981981.0
405,luderitz,-36.241267729505495,75.2,0.0,57.0,32.21,1516978800.0
406,dargaville,-36.20788843066944,62.66,0.0,90.0,3.85,1516981984.0
417,port+augusta,-29.265122545204427,75.2,48.0,69.0,6.93,1516978800.0
418,julio+de+castilhos,-29.305609685652104,80.6,20.0,57.0,16.11,1516978800.0
425,moree,-29.54390647761,78.59,0.0,59.0,12.01,1516981989.0
426,vao,-29.564713299724275,35.17,80.0,99.0,7.43,1516981991.0
428,vallenar,-27.302052392961006,73.06,0.0,69.0,2.84,1516981992.0
431,gold+coast,-27.635581365888378,73.4,90.0,94.0,2.24,1516978800.0
432,kathu,-28.25702860815711,75.04,44.0,94.0,7.99,1516981995.0
433,imbituba,-29.28241561097516,73.4,75.0,83.0,6.93,1516978800.0
435,yulara,-27.281477508229543,89.6,0.0,33.0,8.05,1516978800.0
438,pisco,-28.243306643857913,75.2,0.0,73.0,9.17,1516978800.0
441,oranjemund,-30.47346529232316,66.04,88.0,94.0,14.58,1516982002.0
442,kaeo,-27.064065459813417,59.87,0.0,85.0,4.97,1516982003.0
443,flinders,-31.97543214294217,71.6,90.0,100.0,4.7,1516980600.0
445,avera,-28.367182212919943,53.6,1.0,52.0,4.7,1516980900.0
447,san+martin,-33.099889085145584,44.6,90.0,100.0,3.36,1516980900.0
448,ahipara,-27.86983165372313,62.39,0.0,100.0,2.84,1516982010.0
449,taltal,-25.61505421395398,75.89,0.0,48.0,4.07,1516982012.0
452,coquimbo,-26.383768617613903,64.4,90.0,77.0,3.36,1516978800.0
453,san+antonio,-33.642581375218924,62.6,20.0,67.0,10.29,1516978800.0
456,walvis+bay,-24.755891428695566,73.4,0.0,53.0,11.41,1516978800.0
457,isangel,-23.689976630534517,79.67,88.0,100.0,12.68,1516982020.0
459,sao+joao+da+barra,-23.98938187225744,91.4,40.0,43.0,8.05,1516978800.0
462,coolum+beach,-25.834226108532263,76.39,92.0,95.0,5.19,1516982024.0
465,mookane,-23.622240258609445,91.91,0.0,30.0,11.79,1516982025.0
466,vila+velha,-26.272544482229375,86.0,40.0,66.0,11.41,1516982400.0
467,roma,-27.091977179879507,57.2,40.0,66.0,12.75,1516980000.0
472,carnarvon,-22.665932037014734,75.26,92.0,40.0,10.33,1516982030.0
475,koumac,-21.78105556366697,74.54,68.0,98.0,10.78,1516982031.0
480,maun,-20.328198643806182,77.0,75.0,69.0,10.29,1516978800.0
482,tocopilla,-22.155000033761077,70.72,8.0,75.0,5.86,1516982036.0
486,alofi,-20.24570840794024,75.2,90.0,100.0,4.7,1516978800.0
487,maltahohe,-24.847829998510758,89.44,44.0,22.0,15.03,1516982039.0
498,puerto+ayora,-19.25500287039518,78.8,90.0,74.0,16.11,1516978800.0
500,itapecerica,-20.43065938003098,85.07,36.0,49.0,5.19,1516982042.0
504,iquique,-20.36039114157058,73.4,0.0,60.0,17.22,1516978800.0
507,cajati,-24.381397972148974,79.22,92.0,79.0,9.44,1516982047.0
508,angoche,-17.834015462785054,82.69,0.0,100.0,6.64,1516982049.0
510,saint-joseph,-26.17927214945824,55.4,90.0,71.0,11.41,1516980600.0
511,henties+bay,-21.317529203985096,67.97,0.0,89.0,10.78,1516982052.0
516,caravelas,-22.5465918239033,79.54,0.0,100.0,11.23,1516982053.0
517,morondava,-18.70077222994638,88.04,8.0,68.0,7.87,1516982055.0
520,innisfail,-17.15384612241395,1.4,40.0,84.0,6.93,1516978800.0
523,ilhabela,-23.991207881426813,76.21,88.0,100.0,8.43,1516982058.0
525,teahupoo,-18.641186427282513,75.2,0.0,78.0,1.12,1516980600.0
527,haapiti,-19.62307415583509,75.2,24.0,78.0,1.12,1516980600.0
530,port+hedland,-16.969702775888607,84.2,76.0,83.0,8.05,1516978800.0
531,mount+isa,-18.65284177630501,78.8,44.0,74.0,2.24,1516978800.0
532,luganville,-15.570099215306955,76.88,92.0,100.0,9.78,1516982068.0
533,hithadhoo,-14.362359324162053,83.27,80.0,99.0,9.44,1516982069.0
536,georgetown,-14.461911993765076,86.0,0.0,58.0,13.87,1516978800.0
539,belmonte,-15.483766723010024,47.59,0.0,75.0,11.9,1516982076.0
541,san+ramon,-13.972241858020492,68.0,40.0,82.0,18.34,1516978800.0
545,bambanglipuro,-16.534247832214405,77.11,76.0,84.0,2.84,1516982080.0
546,fare,-12.335233999788953,82.42,92.0,99.0,7.76,1516982083.0
551,sambava,-13.015789857446913,82.51,8.0,100.0,16.26,1516982085.0
552,pontes+e+lacerda,-14.986089978683713,86.29,0.0,92.0,4.18,1516982087.0
553,atuona,-12.787718753466677,76.57,92.0,100.0,14.58,1516982089.0
554,luziania,-16.166898543649538,66.2,75.0,93.0,6.93,1516980000.0
555,pau+brasil,-15.485743065054585,84.89,32.0,77.0,5.53,1516982092.0
558,namibe,-18.446874080883703,77.74,0.0,100.0,11.01,1516982095.0
559,taiobeiras,-15.86193357128836,84.26,8.0,54.0,6.31,1516982097.0
560,san+matias,-17.193744039682706,68.0,75.0,72.0,16.11,1516982400.0
561,cairns,-14.066058406770352,78.8,40.0,88.0,10.29,1516978800.0
563,lakatoro,-16.627613777943548,73.64,92.0,100.0,2.28,1516982102.0
567,campos+altos,-19.59019418259187,82.01,0.0,71.0,7.2,1516982103.0
